RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,EWSD,PST1A,PST2A,KSTD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,RDPD,CDAD,LDAD,SDAD,SNW0C,SNW1C,DTTD,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D,RL7D,RL8D,RL9D,RL10D
1,FLSC8101,1,0,1,1988,111,22,14,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1383937,0,0,0,0,0,2.975492,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,112,23,15,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1411833,0,0,0,0,0,1.859783,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,113,24,16,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1411833,0,0,0,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,114,25,17,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1411833,0,0,0,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,115,26,18,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1462744,0,0,0,0,0,3.394037,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,116,27,19,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1553125,0,0,0,0,0,6.025410,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,117,28,20,1.000000,1,.9780114E-03,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1219106E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,6.887404,.4669176E-03,.000000,.1576624,0,0,0,0,0,2.562400,.2820000,.1410000,.3000000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,118,29,21,1.000000,1,.9052860E-03,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1910686E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,6.375254,.4669176E-03,.000000,.1587985,0,0,0,0,0,1.238863,.2810000,.1400000,.2900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,119,30,22,1.000000,1,.1395423E-02,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1681793E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,9.826922,.6661963E-03,.000000,.1627401,0,0,0,0,0,4.298116,.2800000,.1400000,.2900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,120,31,23,2.000000,1,.2629544E-02,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1314414E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,18.51791,.1255384E-02,.000000,.1690308,0,0,0,0,0,6.859561,.2810000,.1410000,.2900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,121,32,24,2.000000,1,.4803243E-02,14,14,0,15,28,28,0,.000000,.000000,0,0,.000000,.000000,.8184075E-02,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,33.82566,.2293142E-02,.000000,.1774562,0,0,0,0,0,9.187492,.2830000,.1440000,.3000000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,122,33,25,2.000000,1,.7574196E-02,14,14,0,15,28,28,0,.000000,.000000,0,0,.000000,.000000,.2480626E-02,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,53.33941,.3616037E-02,.000000,.1870510,0,0,0,0,0,10.46245,.2890000,.1500000,.3300000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,123,34,26,3.000000,1,.1118382E-01,14,14,0,16,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,78.75928,.5339325E-02,.000000,.1982810,0,0,0,0,0,12.24572,.3000000,.1610000,.4000000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,124,35,27,3.000000,1,.1452700E-01,14,14,0,17,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,102.3028,.6935413E-02,.000000,.2080031,0,0,0,0,0,10.60131,.3110000,.1720000,.4800000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,125,36,28,3.000000,1,.1715796E-01,14,14,0,19,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,120.8307,.8191470E-02,.000000,.2137161,0,0,0,0,0,8.087585,.3290000,.1900000,.5900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,126,37,29,4.000000,1,.3206546E-01,14,14,0,22,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,225.8131,.1530854E-01,.000000,.2232088,0,0,0,0,0,13.43803,.3520000,.2170000,.7600001E-01,.2000000E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,127,38,30,4.000000,1,.4743626E-01,14,14,0,26,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,334.0581,.2264679E-01,.000000,.2317764,0,0,0,0,0,12.12869,.3780000,.2620000,.1030000,.7000000E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,128,39,31,4.000000,1,.7166923E-01,23,14,0,27,37,37,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.347702,.000000,.000000,0,0,309.8929,.3421599E-01,.000000,.2431897,0,0,0,0,0,16.15690,.3880000,.2720000,.1090000,.8000000E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,129,40,32,5.000000,1,.9196190E-01,31,14,0,27,46,46,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.314475,.000000,.000000,0,0,291.9991,.4390402E-01,.000000,.2518910,0,0,0,0,0,12.31779,.3930000,.2780000,.1140000,.9000001E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,130,41,33,5.000000,1,.1065923,38,14,0,33,52,52,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.528072,.000000,.000000,0,0,281.1694,.5088882E-01,.000000,.2578801,0,0,0,0,0,8.478479,.4350000,.3290000,.1560000,.2000000E-01,.000000,.000000,.000000,.000000,.000000,.000000
