RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,PST1A,PST2A,KSTD,EWSD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,NWAD,RDPD,SNW0C,SNW1C,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D,RL7D,RL8D,RL9D
1,UFGA8501,1,0,1,1985,184,14,13,1.525144,0,.4582505E-01,16,3,0,22,19,19,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.570944,.000000,.000000,0,0,289.6292,.8920500E-01,.9322407E-01,3.428677,.3986129,0,3,.5525933E-01,.8369311E-01,.3397503E-01,.2257095E-02,.000000,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,185,15,14,1.789929,0,.5764658E-01,20,3,0,23,23,23,0,.000000,.000000,0,0,.000000,.000000,.1208836E-01,.000000,.000000,.000000,.000000,5.354228,.000000,.000000,0,0,293.2747,.1022203,.1072553,4.011552,.4192992,0,3,.5434484E-01,.8711459E-01,.3580642E-01,.3340690E-02,.000000,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,186,16,15,2.070474,0,.7268644E-01,24,4,0,24,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.194242,.000000,.000000,0,0,304.4990,.1153373,.1214253,4.693516,.4412169,0,4,.5831861E-01,.9051377E-01,.3763207E-01,.4642774E-02,.000000,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,187,17,16,2.355149,0,.8851827E-01,29,5,0,26,34,34,0,.000000,.000000,0,0,.000000,.000000,.1132598,.000000,.000000,.000000,.000000,4.942801,.000000,.000000,0,0,302.0216,.1295932,.1368568,5.491414,.4634570,0,4,.5728099E-01,.9683421E-01,.4091208E-01,.7096342E-02,.000000,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,188,18,17,2.643702,0,.1072096,35,6,0,29,41,41,0,.000000,.000000,0,0,.000000,.000000,.5135536E-01,.000000,.000000,.000000,.000000,4.776955,.000000,.000000,0,0,305.1931,.1444280,.1529472,6.424954,.4860002,0,5,.6375431E-01,.1025942,.4391242E-01,.9175231E-02,.5253452E-03,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,189,19,18,2.905052,0,.1232054,42,7,0,32,49,49,0,.000000,.000000,0,0,.000000,.8186239E-01,.7364959E-01,.000000,.000000,.000000,.000000,4.603810,.000000,.000000,0,0,293.6759,.1582597,.1679758,7.517196,.5082387,1,5,.6262007E-01,.1129784,.4921146E-01,.1260156E-01,.1902798E-02,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,190,20,19,3.183457,0,.1451473,51,9,0,35,60,60,0,.000000,.000000,0,0,.000000,.6284910E-01,.1012002,.000000,.000000,.000000,.000000,4.418386,.000000,.000000,0,0,283.4946,.1716280,.1825273,8.795119,.5315046,1,6,.6145739E-01,.1211989,.5343623E-01,.1540115E-01,.3510139E-02,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,191,21,20,3.471576,0,.1739685,62,10,0,37,72,72,0,.000000,.000000,0,0,.000000,.2088380E-01,.4569697E-01,.000000,.000000,.000000,.000000,4.298478,.000000,.000000,0,0,282.7517,.1865976,.1988517,10.29029,.5546385,1,6,.6904721E-01,.1276900,.5679608E-01,.1768161E-01,.5229311E-02,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,192,22,21,3.769576,0,.2099099,71,14,0,42,84,84,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.323977,.000000,.000000,0,0,297.2700,.2028373,.2165937,12.03964,.5781586,1,7,.6776121E-01,.1401705,.6313788E-01,.2172075E-01,.8856423E-02,.000000,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,193,23,22,4.062372,0,.2464467,79,18,0,47,96,96,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.418700,.000000,.000000,0,0,313.5024,.2195869,.2349094,13.67419,.6013573,1,8,.6652120E-01,.1542759,.7028440E-01,.2622440E-01,.1363128E-01,.000000,.000000,.000000,.000000
